source,context,en_raw,zh_raw,en_norm,zh_norm
E135-1B,4,GENERAL REQUIREMENTS,一般要求,GENERAL REQUIREMENTS,一般要求
E135-1B,4.1.1,"Acceptance of materials, components and subassemblies","各項要求之適用, 以及材料、組件及次組件之允收","Acceptance of materials, components and subassemblies","各項要求之適用, 以及材料、組件及次組件之允收"
E135-1B,4.1.2,Use of components,組件之使用,Use of components,組件之使用
E135-1B,4.1.3,Equipment design and construction,設備之設計及結構,Equipment design and construction,設備之設計及結構
E135-1B,4.1.4,Specified ambient temperature for outdoor use (oC) .................................................................................... :,室外用途的指定環境溫度(°C):,Specified ambient temperature for outdoor use (oC) :,室外用途的指定環境溫度(°C):
E135-1B,4.1.5,Constructions and components not specifically covered,未明確規定之結構與組件,Constructions and components not specifically covered,未明確規定之結構與組件
E135-1B,4.1.8,Liquids and liquid filled components (LFC),液體或液體填充組件(LFC),Liquids and liquid filled components (LFC),液體或液體填充組件(LFC)
E135-1B,4.1.15,Markings and instructions,標示及說明,Markings and instructions,標示及說明
E135-1B,4.4.3,Safeguard robustness,安全防護之強健性,Safeguard robustness,安全防護之強健性
E135-1B,4.4.3.1,General,一般,General,一般
E135-1B,4.4.3.2,Steady force tests,穩定力試驗,Steady force tests,穩定力試驗
E135-1B,4.4.3.3,Drop tests,落下試驗,Drop tests,落下試驗
E135-1B,4.4.3.4,Impact tests,撞擊試驗,Impact tests,撞擊試驗
E135-1B,4.4.3.5,Internal accessible safeguard tests,內部可觸及的安全防護試驗,Internal accessible safeguard tests,內部可觸及的安全防護試驗
E135-1B,4.4.3.6,Glass impact tests,玻璃撞擊試驗,Glass impact tests,玻璃撞擊試驗
E135-1B,4.4.3.7,Glass fixation tests,玻璃固定試驗,Glass fixation tests,玻璃固定試驗
E135-1B,4.4.3.7,Glass impact test (1J),玻璃衝擊試驗(1J),Glass impact test (1J),玻璃衝擊試驗(1J)
E135-1B,4.4.3.7,Push/pull test (10 N),推/拉試驗(10 N),Push/pull test (10 N),推/拉試驗(10 N)
E135-1B,4.4.3.8,Thermoplastic material tests,熱塑性材料試驗,Thermoplastic material tests,熱塑性材料試驗
E135-1B,4.4.3.9,Air comprising a safeguard,空氣構成之安全防護,Air comprising a safeguard,空氣構成之安全防護
E135-1B,4.4.3.10,"Accessibility, glass, safeguard effectiveness",符合性判斷準則,"Accessibility, glass, safeguard effectiveness",符合性判斷準則
E135-1B,4.4.4,Displacement of a safeguard by an insulating liquid,用絕緣液體置換安全防護,Displacement of a safeguard by an insulating liquid,用絕緣液體置換安全防護
E135-1B,4.4.5,Safety interlocks,安全互鎖,Safety interlocks,安全互鎖
E135-1B,4.5,Explosion,爆炸,Explosion,爆炸
E135-1B,4.5.1,General,一般,General,一般
E135-1B,4.5.2,No explosion during normal/abnormal operating condition,正常/異常工作狀態期間無爆炸,No explosion during normal/abnormal operating condition,正常/異常工作狀態期間無爆炸
E135-1B,4.5.2,No harm by explosion during single fault conditions,單一故障條件下的爆炸不會造成任何傷害,No harm by explosion during single fault conditions,單一故障條件下的爆炸不會造成任何傷害
E135-1B,4.6,Fixing of conductors,導體之緊固,Fixing of conductors,導體之緊固
E135-1B,4.6,Fix conductors not to defeat a safeguard,"修復導體,不要擊敗保護",Fix conductors not to defeat a safeguard,"修復導體,不要擊敗保護"
E135-1B,4.6,Compliance is checked by test .............................. :,通過試驗檢查符合性性:,Compliance is checked by test :,通過試驗檢查符合性性:
E135-1B,4.7,Equipment for direct insertion into mains socket–outlets,直接插接主電源插座之設備,Equipment for direct insertion into mains socket–outlets,直接插接主電源插座之設備
E135-1B,4.7.2,Mains plug part complies with relevant standard .. :,主電源系統插頭應符合相關標準之規定,Mains plug part complies with relevant standard :,主電源系統插頭應符合相關標準之規定
E135-1B,4.7.3,Torque (Nm) .......................................................... :,轉矩(Nm):,Torque (Nm) :,轉矩(Nm):
E135-1B,4.8,Equipment containing coin/button cell batteries,設備包含鋰電池或鈕扣型電池之電池組,Equipment containing coin/button cell batteries,設備包含鋰電池或鈕扣型電池之電池組
E135-1B,4.8.1,General,一般,General,一般
E135-1B,4.8.2,Instructional safeguard .......................................... :,指示型安全防護,Instructional safeguard :,指示型安全防護
E135-1B,4.8.3,Battery compartment door/cover construction,電池匣蓋結構,Battery compartment door/cover construction,電池匣蓋結構
E135-1B,4.8.3,Open torque test,打開扭矩試驗,Open torque test,打開扭矩試驗
E135-1B,4.8.4.2,Stress relief test,應力釋放試驗,Stress relief test,應力釋放試驗
E135-1B,4.8.4.3,Battery replacement test,電池更換試驗,Battery replacement test,電池更換試驗
E135-1B,4.8.4.4,Drop test,落下試驗,Drop test,落下試驗
E135-1B,4.8.4.5,Impact test,撞擊試驗,Impact test,撞擊試驗
E135-1B,4.8.4.6,Crush test,碾壓試驗,Crush test,碾壓試驗
E135-1B,4.8.5,Compliance,符合性判斷準則,Compliance,符合性判斷準則
E135-1B,4.8.5,30N force test with test probe,帶測試探頭的30N力試驗,30N force test with test probe,帶測試探頭的30N力試驗
E135-1B,4.8.5,20N force test with test hook,帶測試鉤的20N力試驗,20N force test with test hook,帶測試鉤的20N力試驗
E135-1B,4.9,Likelihood of fire or shock due to entry of conductive object,因導電物體掉入而導致起火或電擊之可能性,Likelihood of fire or shock due to entry of conductive object,因導電物體掉入而導致起火或電擊之可能性
E135-1B,4.10,Component requirements,組件規定,Component requirements,組件規定
E135-1B,4.10.1,Disconnect Device,切離裝置,Disconnect Device,切離裝置
E135-1B,4.10.2,Switches and relays,開關及繼電器,Switches and relays,開關及繼電器
E135-1B,5,ELECTRICALLY-CAUSED INJURY,電氣導致之傷害,ELECTRICALLY-CAUSED INJURY,電氣導致之傷害
E135-1B,5.2,Classification and limits of electrical energy sources,電器能量源之分級及限制,Classification and limits of electrical energy sources,電器能量源之分級及限制
